2437 A, A
10765 KLIMCHUK, JA
16208 KLIMENKO, AA
9291 KLIMUSHIN, SI
11935 KLINGER, RJ
16685 KLING, R
14337 KLING, TP
12767 KLINK, G
5427 KLINKHAMER, FR
16378 KLIS, EKMVD
2392 KLIS, MVD
8652 KLIS, RWMVD
15664 KLIS, VD
6500 KLOCHKOVA, VG
10313 KLOSE, S
8402 KLOTZ, A
13428 KLUMPE, EW
7837 KLUZNIAK, W
356 KLYPIN, A
524 KLYPIN, AA
13681 KLYPIN, CFA
3203 KMETKO, J
14559 KNACKE, RF
382 KNAPEN, JH
15031 KNAPP, BC
7974 KNAPP, GR
6056 KNAPP, J
11098 KNEBE, A
6227 KNEE, L
12261 KNEE, LBG
14932 KNEER, R
12439 KNEIB, AWBJP
721 KNEIB, J
958 KNEIB, JP
15510 KNEISKE, TM
4006 KNEISSL, R
10909 KNEZEK, P
10083 KNEZEK, PM
16607 KNIAZEV, A
3985 KNIAZEV, AY
3222 KNIFFEN, DA
9019 KNIGGE, C
6133 KNIGHT, PA
12579 KNODLSEDER, J
3607 KNOEDLSEDER, J
13497 KNOLL, J
15621 KNOP, R
7403 KNOP, RA
3542 KNORREN, R
8781 KNOWLTON, W
1006 KNOX, L
5692 KNOX, LE
12904 KNOX, RA
9897 KNUDE, J
6575 K, O
10530 KOBAYASHI, C
15959 KOBAYASHI, H
11839 KOBAYASHI, N
2248 KOBAYASHI, S
1394 KOBAYASHI, T
2552 KOBAYASHI, Y
6875 KOBULNICKY, HA
12618 KOCABIYIK, A
10032 KOCHANEK, AJRCS
9594 KOCHANEK, C
76 KOCHANEK, CS
3040 KOCHANSKI, GP
7513 KOCHMIRAMOND, L
16017 KOCH, TS
14698 KOCIFAJ, M
14518 KOCZON, P
12681 KODAIRA, K
13269 KODA, J
15005 KODAMA, H
4715 KODAMA, T
7244 KOEHLER, C
9648 KOEHLER, R
7141 KOEHLER, S
3666 KOEHLER, T
12306 KOEKEMOER, A
8424 KOEKEMOER, AM
5232 KOEN, C
5349 KOENIG, M
12339 KOENIGSBERGER, G
12467 KOERNER, D
658 KOERNER, DW
3436 KOESTER, D
4443 KOFF, SD
2239 KOFMAN, L
8519 KOGAN, II
657 KOGUT, A
5893 KOH, DT
1830 KOH, I
1878 KOHLER, C
3582 KOHLE, S
12768 KOHLEY, R
7614 KOHL, J
15727 KOHL, JL
14519 KOHLMEYER, B
9558 KOHMURA, T
15604 KOHMURA, Y
11014 KOHNO, K
16356 KOHNO, M
5415 KOHRI, K
8722 KOHYAMA, Y
14121 KOIDE, S
2857 KOJIMA, Y
10150 KOKKOTAS, K
2858 KOKKOTAS, KD
6300 KOKUBO, E
7623 KOLACZYK, ED
1395 KOLATA, JJ
1196 KOLATT, T
3120 KOLATT, TS
2658 KOLBE, E
1070 KOLB, EW
5329 KOLB, U
9423 KOLDA, C
12100 KOLDOBA, AV
12497 KOLEN, F
15794 KOLESNIKOV, SV
11616 KOLIND, S
14365 KOLLATH, JRBZ
7057 KOLLATH, Z
11443 KOLLATSCHNY, SDW
9025 KOLLATSCHNY, W
6222 KOLLGAARD, R
4243 KOLLGAARD, RI
15738 KOLODZIEJCZAK, J
16391 KOLODZIEJCZAK, JJ
102 KOLOKOLOV, I
11381 KOLOKOLOV, IV
7118 KOLOKOTRONIS, E
2565 KOLOKOTRONIS, V
9319 KOLOMEITSEV, EE
12899 KOLOSOV, VA
14894 KOLOTILOV, EA
15771 KOMAROVA, VN
8501 KOMATSU, E
437 KOMBERG, BV
9441 KOMIYAMA, Y
12354 KOMLJENOVIC, PT
10680 KOMMERS, J
5969 KOMMERS, JM
16352 KOMM, RW
2667 KOMOSSA, S
12728 KOMPANEETS, D
9753 KONACKI, M
10963 KONAR, S
6454 KONDO, S
16630 KONECNY, R
8900 KONENKOV, D
7255 KONENKOV, DY
10030 KONG, AKH
4952 KONG, M
15148 KONG, X
9789 KONIGL, A
6092 KONIG, M
1428 KONISHI, T
12658 KONNO, K
4123 KONOPELKO, A
8549 KONOPELKO, AK
4799 KONOPLICH, R
4088 KONOPLICH, RV
2353 KONOPLIV, AS
10860 KONTOLEON, N
5859 KONTOROVICH, VM
13078 KOO, B
5639 KOO, D
1989 KOO, DC
8580 KOOI, J
522 KOOIMAN, BL
6263 KOOL, MD
10064 KOONIN, S
9279 KOOPMANN, RA
13109 KOOPMANS, IWABLVE
7987 KOOPMANS, L
6485 KOOPMANS, LVE
4200 KOORNNEEF, J
5621 KOPAJEV, AV
15695 KOPAN, G
1223 KOPEIKIN, ODS
11677 KOPEIKIN, S
11906 KOPEIKIN, SM
8411 KOPF, A
8700 KOPPEN, J
11777 KOPYLOV, A
7665 KOPYLOV, AI
11885 KOPYLOV, AV
7593 KOPYLOV, SVZAI
10244 KORALESKY, B
4535 KORANDA, S
4797 KORANYI, D
14653 KORANYI, DM
7657 KORATKAR, A
10336 KORATKAR, AKA
12124 KORATKAR, AP
8262 KORCHAGIN, V
6293 KOREL, I
7616 KORENDYKE, C
12520 KORESKO, C
11090 KORESKO, CD
11896 KORHONEN, H
9760 KORIBALSKI, B
10977 KORIBALSKI, BS
2347 KORISTA, K
2881 KORISTA, KT
3232 KORMENDY, J
12385 KORMENDY, NTJ
16367 KORNET, K
10004 KORNILOV, VG
10847 KORNMAYER, H
10813 KORNREICH, DA
7425 KORNREICH, P
6514 KOROTKY, VA
11463 KORPELA, E
7832 KORPELA, EJ
8711 KORZENNIK, S
6283 KORZENNIK, SG
10326 KO, S
8876 KOSENKO, DI
10413 KOSHUT, T
12798 KOSHUT, TM
10658 KOSOVICHEV, AG
109 KOSOWSKY, A
4997 KOSTAEDT, P
11385 KOSTELECKY, A
12131 KOSUGI, G
8710 KOTAK, R
4189 KOTANI, T
10089 KOTCHOUKHOV, O
2027 KOTER, AD
13578 KOTHARI, M
2781 KOTILAINEN, J
8284 KOTILAINEN, JK
10368 KOTOK, E
14819 KOTOK, EV
12281 KOTONEVA, E
16169 KOTOV, O
7764 KOTOV, S
13571 KOUL, DK
13576 KOUL, MK
13577 KOUL, R
12641 KOU, SP
912 KOUVELIOTOU, C
7753 KOUWENHOVEN, M
1937 KOVAC, J
11833 KOVACS, A
3871 KOVACS, G
12167 KOVALENKO, ES
11438 KOVALENKO, IG
7202 KOVALEVSKY, J
10183 KOVAL, VA
6084 KOVESIDOMOKOS, S
7483 KOVOKARITI, O
5780 KOVO, O
10125 KOVTYUKH, VV
15080 KOWALSKI, M
1967 KOWITT, MS
15541 KOYAMA, H
3142 KOYAMA, K
10512 KOZAMEH, CN
12196 KOZHEVNIKOV, AA
10558 KOZHEVNIKOV, VP
14210 KOZHURINAPLATAIS, V
4397 KOZLOVSKY, B
12934 KOZMA, C
12632 KOZYREVA, AV
13879 K, R
3272 KRAANKORTEWEG, RC
7663 KRABBE, A
12285 KRAEFT, W
9815 KRAEMER, G
8202 KRAEMER, S
8090 KRAEMER, SB
2885 KRAFT, RP
10319 KRAMER, C
8914 KRAMER, M
7234 KRANICH, D
11118 KRANIOTIS, GV
12900 KRASILNIKOV, AD
12535 KRASNOPOLSKY, R
9805 KRASTEVA, E
10873 KRASTEV, P
3155 KRASTEV, PI
3198 KRATZ, KL
9357 KRAUS, A
4909 KRAUSE, M
4439 KRAUS, P
250 KRAUSS, LM
14610 KRAUS, U
4721 KRAUTTER, J
7765 KRAVCHENKO, I
1859 KRAVCHUK, L
8904 KRAVCHUK, SG
12918 KRAVCHUK, VK
7478 KRAVTSOV, A
438 KRAVTSOV, AV
13546 KRAVTSOV, PJAV
9658 KRAWCZYK, A
5019 KRAWCZYNSKI, H
9139 KRCMAR, M
8297 KREBS, C
9140 KRECAK, Z
16192 KREGEL, M
16188 KREIDL, T
15563 KRELOWSKI, J
12809 KREMNEV, RS
6758 KRENNRICH, F
5978 KRETSCHMAR, P
11290 KRETZER, S
10464 KREYERHOFF, G
11526 KREYKENBOHM, I
16117 KREYSA, E
4991 KRIBS, GD
2819 KRICHBAUM, TP
12964 KRIESSLER, J
12154 KRIJGER, JM
1733 KRISCIUNAS, K
12313 KRISHAN, V
2354 KRISHER, TP
9407 KRISHNAKUMAR, V
8469 KRISHNAMURTHI, A
6602 KRISHNASWAMY, MR
9110 KRISKIV, S
4345 KRISS, G
203 KRISS, GA
8131 KRISTEN, H
4283 KRISTIAN, J
13119 KRIST, JE
3136 KRITSUK, A
5017 KRITSUK, AG
9117 KRIVAN, W
5858 KRIVITSKY, DS
945 KROCKENBERGER, M
7256 KROEGER, RA
14835 KROGH, K
2360 KROLIK, J
202 KROLIK, JH
12234 KROLIKOWSKA, M
2666 KROLL, P
11867 KRONAWITTER, A
4743 KRONBERG, PP
12315 KRONGOLD, Y
10049 KRON, R
1990 KRON, RG
1316 KROUPA, P
15536 KRUCKER, S
14488 KRUEGEL, E
11202 KRUGER, H
7049 KRUIT, PCVD
3439 KRUK, JW
12825 KRUMHOLZ, M
10683 KRUMHOLZ, MR
7432 KRUSE, BJG
10310 KRUSE, G
6616 KRUSZEWSKI, A
5097 KRYMOLOWSKI, Y
12178 KRYMSKII, AM
6855 KRYMSKY, GF
1807 KRZEMINSKI, AUW
56 KRZEMINSKI, W
8359 KRZESINSKI, J
756 K, S
6857 KSENOFONTOV, LT
8108 KUANG, HH
11432 KUBE, J
13598 KUBERKA, T
52 KUBIAK, M
3480 KUBIS, S
9801 KUBODERA, K
5550 KUBO, H
1396 KUBONO, S
8386 KUBOTA, A
6597 KUBO, Y
11558 KUCHINSKI, L
732 KUCHINSKI, LE
15942 KUCHNER, MJ
15303 KUCINSKAS, A
4620 KUDLICKI, A
14123 KUDOH, T
14703 KUDRITZKI, R
7994 KUDRITZKI, RP
13116 KUDRYASHOV, AD
10190 KUDRYAVTSEV, DO
15051 KUEMMEL, MW
10029 KUENZLI, M
13599 KUGEL, A
4341 KUHLMAN, B
13982 KUHLMANN, BV
7411 KUHNE, RW
464 KUIJKEN, K
7740 KUIJPERS, J
5129 KUIPER, L
16343 KUIPER, T
5753 KUIPER, TBH
15343 KUJAT, J
5560 KUKULA, MJ
7661 KULESHOVA, N
14520 KULESSA, R
11861 KULKARNI, S
395 KULKARNI, SR
3423 KULKARNI, V
5654 KULKARNI, VP
13033 KULKEERS, E
4022 KULL, A
12205 KULSRUD, R
4320 KULSRUD, RM
16618 KULSRUD, RRRRM
9559 KUMAGAI, S
16402 KUMAR, APP
15545 KUMAR, B
12801 KUMAR, MSN
701 KUMAR, P
7228 KUMAR, SP
2078 KUMEKAWA, K
4482 KUNCIC, Z
661 KUNDIC, T
11418 KUNDT, W
12043 KUNDU, A
8009 KUNDU, MR
12600 KUNE, DF
11819 KUNEVA, I
10366 KUNEVA, IVI
1526 KUNIEDA, H
1675 KUNKEL, M
16485 KUNKEL, W
13814 KUNKEL, WE
15249 KUNO, N
15448 KUNSZT, P
5217 KUNTH, D
9984 KUNTH, FLD
7991 KUNTSCHNER, H
8445 KUNZE, D
8220 KUNZE, KE
8031 KUNZLI, M
9040 KUNZL, T
5387 KUNZ, M
8622 KUPKA, F
16098 KURAKAMI, T
6675 KURAMOCHI, K
5138 KURASZKIEWICZ, J
15830 KURASZKIEWICZ, JK
6676 KURATA, K
10003 KURATOV, K
9167 KURCZYNSKI, P
4782 KURFESS, JD
285 KURKISUONIO, H
15850 KURK, J
14794 KURK, JD
4600 KURODA, T
7494 KUROKAWA, H
9118 KUROKAWA, T
5137 KURPIEWSKI, A
6213 KURSTER, M
12668 KURTEV, R
9577 KURTH, OM
15258 KURTHS, J
5570 KURT, VG
8362 KURTZ, DW
4036 KURTZ, MJ
9517 KURUCZ, RL
10000 KUSAKIN, AV
6677 KUSANO, E
13721 KUSANO, S
10014 KUSCHNIG, R
1116 KUSENKO, A
13535 KUSHIDA, J
15761 KUSHINO, A
2874 KUSUNOSE, M
3481 KUTSCHERA, M
1879 KUTTER, T
16250 KUTUZOV, SM
4286 KUULKERS, E
6076 KUZICHEV, VF
9292 KUZMICHEV, LA
16203 KUZMICHEV, VV
8782 KUZMINOV, V
8821 KUZMIN, V
7742 KUZMIN, VA
15610 KUZNETSOV, A
16589 KUZNETSOVA, IV
5423 KUZNETSOV, AV
16274 KUZNETSOVA, Y
9157 KUZNETSOV, OA
3458 KUZNETSOV, S
12805 KUZNETSOV, SI
14423 K, W
6246 KWAST, T
14158 KWEK, LC
12082 KWIECINSKI, J
7006 KWITTER, KB
15637 KWOK, S
11415 KWON, HBAKH
11654 KYAE, B
16417 KYLAFIS, N
5051 KYLAFIS, ND
11647 KY, NA
16022 L, A
8476 LAAKSONEN, BD
10238 LAAN, HVD
15907 LAAN, JBVD
15101 LABANTI, C
3202 LABEYRIE, A
3405 LABHARDT, L
918 LABINI, FS
7968 LABORATORY, C
12056 LABORATORY, P
15561 LABORATORY, PR
12508 LABRADOR, A
16581 LACASSE, M
10997 LACEY, AJBCG
2439 LACEY, C
5292 LACEY, CG
16179 LACEY, CK
15332 LACHAUME, R
1876 LACHIEZEREY, M
13773 LACKEY, JR
16374 LACOMBE, F
1300 LACY, JH
1531 LACY, M
10087 LADA, C
11691 LADA, CJ
10088 LADA, E
6497 LADA, EA
1603 LAFLAMME, R
6678 LAFOUX, H
13691 LAFRANCA, F
11157 LAGACHE, G
14736 LAGAGE, P
5997 LAGAGE, PO
5868 LAGET, M
3368 LAGRANGE, A
6388 LAGRANGE, AM
146 LAGUNA, P
13855 LAHANAS, AB
480 LAHAV, O
16184 LAHER, R
16061 LAHTEENMAKI, A
13612 LAHUIS, F
1178 LAI, D
11189 LAIDLAW, K
14169 LAIHO, JW
10798 LAINELA, M
286 LAINE, M
7772 LAINE, S
11110 LAING, PA
6925 LAING, RA
8659 LAI, O
5932 LAIO, A
15746 LAIRD, JB
14400 LAI, S
502 LAIX, AAD
9431 LAIX, AD
776 LAKE, G
58 LAKE, K
11489 LAKE, NKG
7969 LAKE, TQG
3689 LALACULICH, O
15555 LALAKULICH, O
10584 LALIENA, V
12135 LALLEMENT, R
16003 LALOE, S
10349 LAMARRE, JM
3170 LAMB, ADKRC
3519 LAMBAS, DG
1975 LAMB, DQ
1835 LAMBERT, DL
9864 LAMBERT, EJBDL
15165 LAMBERT, H
7309 LAMBERT, J
7790 LAMBERT, JC
4285 LAMB, F
1547 LAMB, FK
12629 LAMBIASE, G
6759 LAMB, RC
9717 LAMB, SA
3357 LAMER, G
15444 LAMERS, H
575 LAMERS, HJGLM
13397 LAMING, JM
11413 LAMMERS, S
6589 LAMMERS, U
10359 LAMOTHE, J
8568 LAMPEITL, H
13150 LAMPENS, P
5449 LAMPTON, M
11619 LANCON, A
16517 LANCON, MMA
7437 LANDECKER, TL
685 LANDE, K
8397 LANDGRAF, M
3497 LANDIS, DA
13815 LANDOLT, AU
2807 LANDSMAN, W
4689 LANDSMAN, WB
10130 LANDSTREET, JD
2637 LANDY, SD
15298 LANE, AP
13371 LANE, BF
9618 LANE, W
15020 LANE, WM
1379 LANGACKER, P
2656 LANGANKE, K
12709 LANG, CC
2731 LANGE, AE
12700 LANGE, C
11512 LANGER, GE
1227 LANGER, N
5751 LANGER, WD
6709 LANGEVELDE, HJV
16021 LANGEVELDE, HV
1776 LANGLOIS, D
9329 LANGLOIS, M
6798 LANG, MJ
3043 LANGSTON, GI
8630 LANOIX, P
3538 LANO, RP
686 LANOU, RE
8717 LANTERI, L
3537 LANZA, A
5046 LANZAFAME, G
9220 LANZETTA, K
3038 LANZETTA, KM
2965 LANZONI, B
8292 LANZ, T
15164 LANZ, TM
4355 LAOR, A
16328 LAPASSET, E
4289 LAPIDUS, I
15908 LAPIKAS, L
6615 LAPPARENT, VD
7757 LAPSHOV, I
10299 LARA, JF
1459 LARA, L
11571 LARGE, MI
13735 LARIANIOV, V
10385 LARIMER, R
5391 LARI, MMEC
16387 LARINOV, GM
15778 LARKIN, J
6828 LARKIN, JE
11276 LAROSA, TN
4058 LAROS, J
2234 LAROS, JG
323 LARSEN, AL
7982 LARSEN, CG
428 LARSEN, GB
16353 LARSEN, RM
11149 LARSEN, S
12555 LARSEN, SS
11604 LARSON, MB
12103 LARSON, R
10966 LARSON, RB
14665 LARSON, SL
13464 LARSSON, B
4249 LARSSON, S
4567 LARSSON, SE
10545 LARWOOD, J
3551 LARWOOD, JD
11975 LASALA, J
5172 LASENBY, A
5167 LASENBY, AN
12052 LASENBY, SLBAN
12510 LASKER, BM
350 LASOTA, J
2005 LASOTA, JP
14650 LASSERRE, T
11700 LASTENNET, E
11155 LATEX, A
9758 LATHAM, DW
11622 LATIMER, GE
6902 LATINI, G
9672 LATORA, V
13534 LATORRE, A
10119 LATTANZI, M
6186 LATTANZI, MG
2891 LATTANZIO, J
6432 LATTANZIO, JC
1843 LATTER, WB
3541 LATTIMER, JM
14521 LAUE, F
2355 LAU, EL
3650 LAUER, T
3127 LAUER, TR
3077 LAUGHLIN, G
15828 LAUNHARDT, R
12480 LAUREIJS, R
11224 LAUREIJS, RJ
15191 LAURENCE, S
5270 LAURENT, B
12783 LAURENT, IFMO
16164 LAURENTMEULEISEN, SA
4242 LAURENTMUEHLEISEN, SA
11523 LAURENT, O
3464 LAURENT, P
2782 LAURIKAINEN, E
947 LAUROESCH, JT
3442 LAVAGNO, A
4197 LAVEIGNE, J
13219 LAVERNY, PD
3977 LAVERY, RJ
14228 LAW, CJ
15787 LAW, D
5462 LAWGREEN, D
1895 LAWGREEN, JD
16267 LAWLER, JE
5805 LAWRENCE, A
3080 LAWRENCE, CR
16686 LAWRENCE, S
14611 LAWS, C
14098 LAWSON, A
11317 LAWSON, AJ
3369 LAWSON, WA
6228 LAYDEN, A
4483 LAYDEN, AC
4460 LAY, OP
150 LAZARIAN, A
16030 LAZARIAN, EMDGDPA
6949 LAZARIDES, G
13203 LAZIO, J
4422 LAZIO, TJW
6943 LAZKOZ, R
1328 LAZZARIN, M
15528 LAZZAROTTO, F
4615 LAZZATI, D
13736 L, C
7729 L, CE
10703 L, DC
9946 LEACH, CM
12740 LEAHY, DA
9839 LEAHY, DEHKMLJP
11222 LEAHY, DMSDA
6305 LEAHY, JP
1896 LEAHY, P
11135 LEAMON, RJ
3277 LEARNED, J
687 LEARNED, JG
6441 LEARNED, PBJG
15459 LEBLANC, J
13596 LEBOHEC, S
16236 LEBRE, CCA
7197 LEBRETON, Y
7675 LEBRUN, F
12448 LEBTRETON, Y
15179 LECAR, M
4728 LEDLOW, M
4079 LEDLOW, MJ
9037 LEDOUX, C
13780 LEE, A
12826 LEE, AT
5732 LEE, B
5830 LEE, BC
15119 LEEBER, DM
16413 LEE, C
6954 LEE, CH
9547 LEECH, K
10986 LEE, CLHK
2542 LEE, CW
14358 LEE, D
1374 LEE, DS
8370 LEE, E
14382 LEE, G
7043 LEE, H
8694 LEE, HC
5446 LEE, HK
2771 LEE, HM
10386 LEE, IY
1829 LEE, J
4214 LEE, JC
15509 LEEKS, S
7042 LEE, KW
7501 LEE, MG
4518 LEE, MH
13425 LEE, MMHM
1575 LEE, S
13309 LEE, SH
14413 LEE, SM
13315 LEE, SSKHM
13106 LEE, SW
2394 LEE, TT
14246 LEE, U
6726 LEEUWEN, FV
14616 LEEUWIN, F
11567 LEEUW, LL
6729 LEE, W
7836 LEE, WH
10781 LEE, Y
4705 LEE, YP
13560 LEE, YW
8842 LEFEBVRE, A
10937 LEFEBVRE, VA
2799 LEFEVRE, O
8884 LEFFERS, G
11060 LEFLOCH, B
2449 LEGA, E
13457 LEGER, A
10784 LEGGETT, SK
6733 LEGRAND, F
1129 LEHAR, J
10158 LEHMANN, H
7716 LEHMANN, I
1503 LEHMANN, T
1425 LEHNER, M
213 LEHNER, MJ
11699 LEHNERT, M
2847 LEHNERT, MD
16125 LEHNERT, TMHMD
15733 LEHODEY, BT
3788 LEHOUCQ, R
3007 LEHR, DE
12120 LEHTINEN, K
1912 LEHTO, HJ
13034 LEIBOVICH, AK
12674 LEIBOWITZ, E
4611 LEIBOWITZ, EM
581 LEIBUNDGUT, B
6504 LEICESTER, UO
11931 LEIFSEN, T
10444 LEIGHLY, K
2714 LEIGHLY, KM
877 LEIGH, RG
12472 LEINERT, C
14258 LEINHARDT, ZM
8073 LEINSON, LB
1018 LEISAWITZ, D
7154 LEISAWITZ, DT
7063 LEISING, MD
13694 LEISY, P
1770 LEITCH, EM
13817 LEITER, DL
2114 LEITHERER, C
13912 LEITHERER, RMGDC
15652 LEITHERER, THC
5455 LEJEUNE, T
15098 LELLOUCH, E
16509 LEMAIRE, JL
4527 LEMAITRE, G
8011 LEMEN, JR
10235 LEMKE, D
1836 LEMKE, M
3093 LEMKE, R
4040 LEMME, C
4840 LEMOINE, M
6134 LEMONON, L
5403 LEMOS, JPS
7960 LEMSON, G
10219 LEMSON, RKSG
10803 LENHARDT, H
8378 LENNON, D
14902 LENNON, DJ
10456 LENNON, DL
9791 LENTZ, EJ
12970 LENZ, DD
9621 LEONARD, A
7215 LEONARD, DC
2303 LEONARDI, A
2304 LEONARDI, AJ
2163 LEONARD, PJT
2224 LEONARD, RE
57 LEONARD, S
9981 LEONE, F
3156 LEONE, L
13756 LEONOR, I
7691 LEON, S
12418 LEONTARIS, GK
15460 LEPELTIER, JP
7211 LEPINE, JRD
4318 LEPOCK, JR
9602 LEPP, S
4143 LEQUEUX, J
15461 LERICHE, B
8408 LEROY, A
14817 LEROY, F
12620 LERY, T
5188 LESAME, W
16458 LESCH, EBH
4740 LESCH, H
5189 LESGOURGUES, J
4010 LESPINE, Y
16152 LESQUEN, AD
5271 LESQUOY, E
3303 LESSARD, L
6760 LESSARD, R
6777 LESSARD, RW
13554 LESSARD, WCRW
16498 LESTER, DF
15988 LESTEVEN, S
12799 LESTRADE, JP
15413 LETAWSKY, M
11283 LETELIER, PS
15799 LETESSIERSELVON, A
13553 LETO, G
2862 LEUNG, CN
12270 LEUPOLD, S
12132 LEVENFISH, KP
5937 LEVENSON, NA
5477 LEVENTHAL, M
9051 LEVINE, A
4486 LEVINE, AM
9530 LEVINE, S
5043 LEVINE, SE
6117 LEVIN, J
1637 LEVIN, JJ
7194 LEVIN, S
3083 LEVIN, SM
1617 LEVINSON, A
11617 LEVIN, Y
12274 LEVISON, H
2183 LEVISON, HF
7373 LEVSHAKOV, SA
15363 LEVY, A
14141 LEWANDOWSKI, J
5709 LEWIN, A
2390 LEWIN, W
2320 LEWIN, WHG
15052 LEWIS, A
12221 LEWIS, AD
6853 LEWIS, BM
11167 LEWIS, G
928 LEWIS, GF
14361 LEWIS, I
12957 LEWIS, IJ
15749 LEWIS, JR
14998 LEWIS, MJ
9280 LEWIS, RIG
7396 LEYSHON, G
760 L, FR
9089 L, GCA
9005 LHOTE, D
8745 LIA, C
3114 LIANG, E
5309 LIANG, EP
5209 LIANG, H
2101 LIANG, HLEP
12639 LIANG, JQ
7705 LIANG, SG
3599 LIAO, XH
10874 LIBANOV, MV
7852 LIBERATI, S
7877 LICANDRO, J
8818 LICHTENEGGER, H
11564 LICHTENSTADT, I
12207 LICHTENSTEIGER, L
13823 LICHTENTHAELER, J
8412 LICHTI, G
3712 LICHTI, GG
1539 LIDDLE, AR
4829 LIDMAN, C
1956 LIDSEY, JE
11843 LIEBENDOERFER, M
1495 LIEBERT, J
4298 LIEBSCHER, T
14059 LIEDAHL, DA
14491 LIEGE, CS
15590 LIELAUSIS, O
8551 LIEU, R
13841 LIEWER, KM
241 L, IG
6400 LI, G
11187 LIGHTFOOT, JF
9105 LIGHT, RM
14240 LIGNIERES, F
6953 LI, GQ
1943 LI, H
3726 LI, J
11132 LI, KH
1420 LIKHACHEV, GG
1037 LIKKEL, L
5929 LI, L
7479 LI, LH
7942 LILJE, PB
16078 LILJESTROM, T
13458 LILLER, W
13035 LILLEY, M
15074 LILLY, DCS
10787 LILLY, S
1668 LILLY, SJ
4982 LIMAGNE, D
1916 LIMA, JAS
8301 LIM, M
2732 LIM, MA
13511 LIMONGI, M
1501 LIMON, M
12247 LIM, T
13143 LIM, WC
16000 LIN, ABDNC
6983 LIN, D
3065 LINDBLOM, L
565 LINDE, A
13503 LINDEBAUM, RJ
566 LINDE, D
7013 LINDEGREN, L
12846 LINDEN, RAMVD
7353 LINDEN, SV
13870 LINDENVORNLE, MJD
4102 LINDER, EV
1922 LINDER, SM
2783 LINDGREN, H
8086 LINDLER, D
8171 LINDLER, DJ
7397 LIN, DNC
5125 LINDNER, A
679 LINDNER, U
3411 LINDSEY, C
2934 LINEWEAVER, C
2933 LINEWEAVER, CH
11259 LINGENFELTER, R
683 LINGENFELTER, RE
15826 LING, JC
2710 LIN, H
14205 LIN, JHFRG
1868 LINK, B
12785 LINKEMANN, J
16416 LINKER, JA
14209 LINKERT, G
9278 LINK, R
14336 LIN, LM
4323 LINN, A
11129 LIN, RG
12027 LIN, RP
7584 LIN, S
8294 LINSKY, J
164 LINSKY, JL
3770 LIN, T
10581 LIN, W
7530 LIN, WP
13332 LIN, YC
8972 LIOLIOS, A
15587 LIOLIOS, TE
1156 LIOURE, A
11856 LI, P
8013 LIPA, P
9488 LIPARI, P
9759 LIPARI, S
10734 LIPAVSKY, P
13163 LIPKIN, Y
5678 LIPMAN, EA
256 LIPMAN, K
3621 LIPOVETSKY, V
3981 LIPOVETSKY, VA
1816 LIPPERT, T
5851 LIPUNOVA, GV
988 LIPUNOV, VM
2766 LI, Q
7807 LIRA, P
15796 LI, SACH
8581 LIS, DC
16243 LISEAU, R
3445 LISENFELD, U
14652 LISEWSKI, AM
3068 LISI, E
6038 LISI, F
5127 LISIO, RD
7655 LISKE, J
1332 LISSANDRINI, C
10815 LISSAUER, JJ
1828 LISSIA, M
16430 LISTER, ML
6292 LI, T
12382 LITHWICK, Y
11447 LI, TP
15 LITTERIO, M
15066 LITTLEFAIR, SP
7106 LITVAK, ML
13347 LITVIN, VF
11111 LIU, AS
4935 LIU, BF
5008 LIU, C
16073 LIU, CS
10285 LIU, CT
2720 LIU, FK
7867 LIU, G
7293 LIU, H
15087 LIU, JF
1555 LIU, JM
4998 LIU, M
1454 LIU, MC
7580 LIU, Q
5846 LIU, QY
11459 LIU, S
10575 LIU, XW
10951 LIVERTS, EV
13986 LIVINE, R
2566 LIVIO, M
14909 LIVNE, E
6495 LI, W
11247 LI, WD
9961 LI, X
12230 LI, XD
10580 LI, Y
3284 LI, Z
7434 LIZANO, JCS
10303 LIZANO, S
12536 LI, ZY
9142 LJUBICIC, A
3014 L, KD
9205 LLOYD, C
15975 LLOYDDAVIES, EJ
1266 LLOYDEVANS, J
4330 LLOYDHART, M
8399 LLOYD, NM
611 L, M
11572 L, ME
5118 LOAN, AJ
10085 LOARING, N
11450 LOARING, NS
8628 LOBANOV, AP
14295 LOBEL, A
16357 LOBO, A
2054 LOBO, C
13114 LOBO, JA
4290 LOCHNER, JC
16304 LOCKE, CR
11143 LOCKETT, P
12188 LOCKITCH, KH
2209 LOCKMAN, FJ
12177 LO, CYHKY
14202 LODATO, G
16450 LODDERS, K
17 LOEB, A
12872 LOEB, GBRA
4491 LOEWENSTEIN, M
14590 LOEWENSTEIN, RF
9405 LOFDAHL, MG
6679 LOH, EC
4041 LOHIYA, D
8203 LOIACONO, J
14112 LOIDL, R
14551 LOINARD, L
11455 LOINGER, A
5987 LOISEAU, N
12493 LOISELET, M
8592 LO, K
14929 LOKANADHAM, B
9182 LOKAS, E
1885 LOKAS, EL
4080 LOKEN, C
4956 LO, KY
13239 LOLA, S
10035 LOMBARDI, FARJC
547 LOMBARDI, JC
6251 LOMBARDI, M
14153 LOMBARDO, U
10002 LOMINADZE, JG
14720 LONDRILLO, P
10507 LONGAIR, M
5898 LONGAIR, MS
4943 LONGARETTI, P
12845 LONGBOTTOM, AW
4886 LONG, DC
14693 LONGHETTI, M
11648 LONG, HN
7191 LONG, KS
15102 LONGO, F
5291 LONGO, G
